year,annotation,Average Load
2003,,163.0
2004,,153.0
2005,,142.0
2006,,147.0
2007,,139.0
2008,,151.0
2009,,143.0
2010,,132.0
2011,,135.0
2012,,136.0
2013,,131.0
2014,start of forecast,133.0
2015,,133.0
2016,,133.0
2017,,133.0
2018,,133.0
2019,,133.0
2020,,133.0
2021,,133.0
2022,,133.0
2023,,133.0
2024,,133.0
2025,,133.0
2026,,133.0
2027,,133.0
2028,,133.0
2029,,134.0
2030,,134.0
2031,,134.0
2032,,134.0
2033,,134.0
2034,,134.0
2035,,134.0
2036,,135.0
2037,,135.0
2038,,135.0
2039,,135.0
2040,,135.0
