year,Base case cost,Modeled biomass for heat (pellet)
2017,285139.520437,309595.90303
2018,307068.380437,325238.96913
2019,338743.400437,347834.509052
2020,353362.640437,358263.219785
2021,363920.980437,365795.066426
2022,372042.780437,371588.794611
2023,377728.040437,375644.404341
2024,381788.940437,378541.268433
2025,387474.200437,382596.878163
2026,393971.640437,387231.860711
2027,399656.900437,391287.47044
2028,403717.800437,394184.334533
2029,410215.240437,398819.317081
2030,414276.140437,401716.181174
2031,420773.580437,406351.163722
2032,,
2033,,
2034,,
2035,,
2036,,
