year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,723990.47,9375.4,81218.28,16262.46
2018,723990.47,9375.53,81218.28,16262.46
2019,723919.62,9375.74,81218.28,17335.19
2020,723919.62,9375.94,81218.28,17335.19
2021,723848.76,9376.09,81218.28,17335.19
2022,723848.76,9376.31,81218.28,17335.19
2023,723777.91,9376.48,81218.28,17335.19
2024,723777.91,9376.67,81218.28,17335.19
2025,723707.05,9376.83,81218.28,17335.19
2026,723707.05,9377.02,81218.28,17335.19
2027,723636.2,9377.15,81218.28,17335.19
2028,723636.2,9377.26,81218.28,17335.19
2029,723494.49,9377.77,81218.28,17335.19
2030,723423.64,9378.13,81218.28,17335.19
2031,723423.64,9378.35,81218.28,17335.19
2032,723423.64,,,17335.19
2033,723423.64,,,17335.19
2034,723494.49,,,17335.19
2035,723494.49,,,17335.19
2036,723565.35,,,17335.19
