year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2006,,2.33,4.75
2008,,3.67,5.0
2009,,2.66,5.0
2010,,3.03,5.73
2011,,4.01,5.5
2012,,4.23,7.45
2013,,4.42,7.45
2014,,,7.45
2016,,1.77,3.32
2017,,2.18,3.73
2018,,2.48,4.03
2019,,2.91,4.46
2020,,3.11,4.66
2021,,3.26,4.81
2022,,3.36,4.91
2023,,3.44,4.99
2024,,3.5,5.05
2025,,3.58,5.13
2026,,3.67,5.22
2027,,3.74,5.29
2028,,3.81,5.36
2029,,3.89,5.44
2030,,3.94,5.49
2031,,4.04,5.59
2032,,4.13,5.68
2033,,4.23,5.78
2034,,4.33,5.88
2035,,4.39,5.94
2036,,4.49,6.04
2037,,4.56,6.11
2038,,4.66,6.21
2039,,4.74,6.29
2040,,4.85,6.4
