year,Base case cost,Modeled biomass for heat (cordwood)
2017,864462.573156,1130669.04393
2018,945433.953156,1185406.22113
2019,1056394.73316,1262438.34356
2020,1113374.59316,1299673.68082
2021,1149361.87316,1321501.5505
2022,1179351.27316,1339006.56824
2023,1197344.91316,1347751.18528
2024,1215338.55316,1356602.68082
2025,1233332.19316,1365558.5499
2026,1257323.71316,1379051.26839
2027,1278316.29316,1390426.06418
2028,1296309.93316,1399680.60435
2029,1317302.51316,1411247.53274
2030,1332297.21316,1418472.24133
2031,1356288.73316,1432439.86273
2032,,
2033,,
2034,,
2035,,
2036,,
