year,Base case cost,Modeled biomass for heat (pellet)
2017,864462.573156,1008093.0723
2018,945433.953156,1063315.90683
2019,1056394.73316,1139991.37211
2020,1113374.59316,1178217.30456
2021,1149361.87316,1201524.78736
2022,1179351.27316,1220609.05649
2023,1197344.91316,1231190.18687
2024,1215338.55316,1241824.16293
2025,1233332.19316,1252509.74608
2026,1257323.71316,1267524.35315
2027,1278316.29316,1280448.86341
2028,1296309.93316,1291282.12336
2029,1317302.51316,1304301.63287
2030,1332297.21316,1313088.35234
2031,1356288.73316,1328337.77336
2032,,
2033,,
2034,,
2035,,
2036,,
