year,Base case diesel consumed,Modeled residential ashp
2017,27417.7087001,365.569394294
2018,27417.7087001,365.569394294
2019,27417.7087001,365.569394294
2020,26206.6825583,-845.456747439
2021,26206.6825583,-845.456747439
2022,26206.6825583,-845.456747439
2023,26206.6825583,-845.456747439
2024,24995.6564166,-2056.48288917
2025,24995.6564166,-2056.48288917
2026,24995.6564166,-2056.48288917
2027,24995.6564166,-2056.48288917
2028,23784.6302749,-3267.5090309
2029,23784.6302749,-3267.5090309
2030,22573.6041331,-4478.53517264
2031,22573.6041331,-4478.53517264
