year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6459.48947341,4198.66815772
2018,6458.45176967,4197.99365028
2019,6457.39843761,4197.30898445
2020,6456.18717592,4196.52166435
2021,6454.80402979,4195.62261936
2022,6453.42414968,4194.72569729
2023,6452.10119549,4193.86577707
2024,6450.7602647,4192.99417205
2025,6449.22267089,4191.99473608
2026,6447.37326661,4190.7926233
2027,6445.22249772,4189.39462352
2028,6442.83681829,4187.84393189
2029,6440.52620335,4186.34203218
2030,6437.95746483,4184.67235214
2031,6435.16701481,4182.85855963
