year,Base case cost,Modeled transmission and interties
2021,273422.237691,
2022,282185.77095,
2023,288046.455415,
2024,293294.265332,
2025,299125.165239,
2026,306705.335118,
2027,313119.325016,
2028,317741.659225,
2029,325306.936826,
2030,329380.547842,
2031,336945.825442,
2032,345093.047474,
2033,352544.914644,
2034,360676.098837,
2035,365903.288675,
2036,374615.271738,
2037,379093.2654,
2038,387788.065065,
2039,394164.251486,
2040,403219.902521,
