year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,20718.54,110465.55,25834.05,35321.92,165954.05,91638.93
2018,23096.35,123124.82,30993.11,36127.15,169710.63,97618.02
2019,26445.34,140962.88,35337.12,37258.14,175004.0,100662.77
2020,28013.66,149306.49,37369.0,37789.51,177479.92,102086.93
2021,29150.08,155348.42,38840.36,38175.09,179272.84,103118.22
2022,29963.21,159664.08,39891.33,38452.25,180553.49,103854.86
2023,30559.27,162828.9,40662.04,38655.07,181492.63,104395.06
2024,31047.71,165418.29,41292.62,38821.94,182261.03,104837.04
2025,31589.71,168295.4,41993.27,39006.36,183114.79,105328.13
2026,32294.14,172035.64,42904.11,39245.78,184224.69,105966.54
2027,32890.28,175200.46,43674.82,39448.41,185163.84,106506.74
2028,33379.17,177789.85,44305.4,39615.56,185932.23,106948.72
2029,34083.51,181530.09,45216.24,39854.63,187042.13,107587.14
2030,34464.73,183544.07,45706.7,39985.7,187639.77,107930.9
2031,35169.63,187284.3,46617.54,40225.29,188749.66,108569.32
2032,,,51139.24,,,113627.12
2033,,,52193.12,,,114342.15
2034,,,53246.99,,,115057.17
2035,,,53924.48,,,115516.83
2036,,,55053.64,,,116282.93
