year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,443142.0,830.1,353788.0,0.0,353788.0
2004,,443142.0,830.1,309488.0,0.0,309488.0
2005,,443142.0,830.1,342542.0,0.0,342542.0
2006,,443142.0,830.1,359511.0,0.0,359511.0
2007,,443142.0,830.1,437223.0,0.0,437223.0
2008,,443142.0,830.1,473425.0,0.0,473425.0
2009,,443142.0,830.1,469251.0,0.0,469251.0
2010,,443142.0,830.1,509533.0,0.0,509533.0
2011,,443142.0,830.1,471626.0,0.0,471626.0
2012,,443142.0,830.1,443683.0,6642.0,437041.0
2013,,443142.0,830.1,524546.0,443142.0,81404.0
2014,,443142.0,830.1,516455.0,276175.0,240280.0
2015,,443142.0,830.1,513185.0,371320.0,141865.0
2016,start of forecast,443142.0,830.1,511000.0,443142.0,67858.0
2017,,443142.0,830.1,511000.0,443142.0,67858.0
2018,,443142.0,830.1,511000.0,443142.0,67858.0
2019,,443142.0,830.1,510000.0,443142.0,66858.0
2020,,443142.0,830.1,510000.0,443142.0,66858.0
2021,,443142.0,830.1,510000.0,443142.0,66858.0
2022,,443142.0,830.1,510000.0,443142.0,66858.0
2023,,443142.0,830.1,509000.0,443142.0,65858.0
2024,,443142.0,830.1,509000.0,443142.0,65858.0
2025,,443142.0,830.1,509000.0,443142.0,65858.0
2026,,443142.0,830.1,509000.0,443142.0,65858.0
2027,,443142.0,830.1,509000.0,443142.0,65858.0
2028,,443142.0,830.1,508000.0,443142.0,64858.0
2029,,443142.0,830.1,508000.0,443142.0,64858.0
2030,,443142.0,830.1,508000.0,443142.0,64858.0
2031,,443142.0,830.1,508000.0,443142.0,64858.0
2032,,443142.0,830.1,508000.0,443142.0,64858.0
2033,,443142.0,830.1,507000.0,443142.0,63858.0
2034,,443142.0,830.1,507000.0,443142.0,63858.0
2035,,443142.0,830.1,507000.0,443142.0,63858.0
2036,,443142.0,830.1,507000.0,443142.0,63858.0
2037,,443142.0,830.1,506000.0,443142.0,62858.0
2038,,443142.0,830.1,506000.0,443142.0,62858.0
2039,,443142.0,830.1,506000.0,443142.0,62858.0
2040,,443142.0,830.1,505000.0,443142.0,61858.0
