year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,7773.54,5396.2,28771.07,6485.27
2018,7773.54,5397.02,28771.07,7006.47
2019,7658.98,5397.6,28771.07,7006.47
2020,7658.98,5398.18,28771.07,7006.47
2021,7658.98,5398.7,28771.07,7006.47
2022,7658.98,5399.3,28771.07,7006.47
2023,7544.43,5399.67,28771.07,7006.47
2024,7544.43,5400.1,28771.07,7006.47
2025,7544.43,5400.44,28771.07,7006.47
2026,7544.43,5400.84,28771.07,7006.47
2027,7544.43,5401.18,28771.07,7006.47
2028,7429.87,5401.63,28771.07,7006.47
2029,7429.87,5401.96,28771.07,7006.47
2030,7429.87,5402.45,28771.07,7006.47
2031,7429.87,5402.84,28771.07,7006.47
2032,7429.87,,,7527.68
2033,7315.32,,,7527.68
2034,7315.32,,,7527.68
2035,7315.32,,,7527.68
2036,7315.32,,,7527.68
