year,Base case diesel consumed,"Atka (unnamed stream, site #4) -- unnamed creek 4","Atka (unnamed stream, site #3) -- unnamed creek 3","Atka (unnamed stream, site #2) -- unnamed creek 2","Atka (unnamed stream, site #1) -- unnamed creek 1",Chuniisax creek (atka)
2020,7658.98440068,,,,,0.0
2021,7658.98440068,0.0,0.0,0.0,0.0,0.0
2022,7658.98440068,0.0,0.0,0.0,0.0,0.0
2023,7544.42841036,0.0,0.0,0.0,0.0,0.0
2024,7544.42841036,0.0,0.0,0.0,0.0,0.0
2025,7544.42841036,0.0,0.0,0.0,0.0,0.0
2026,7544.42841036,0.0,0.0,0.0,0.0,0.0
2027,7544.42841036,0.0,0.0,0.0,0.0,0.0
2028,7429.87242005,0.0,0.0,0.0,0.0,0.0
2029,7429.87242005,0.0,0.0,0.0,0.0,0.0
2030,7429.87242005,0.0,0.0,0.0,0.0,0.0
2031,7429.87242005,0.0,0.0,0.0,0.0,0.0
2032,7429.87242005,0.0,0.0,0.0,0.0,0.0
2033,7315.31642973,0.0,0.0,0.0,0.0,0.0
2034,7315.31642973,0.0,0.0,0.0,0.0,0.0
2035,7315.31642973,0.0,0.0,0.0,0.0,0.0
2036,7315.31642973,0.0,0.0,0.0,0.0,0.0
2037,7200.76043941,0.0,0.0,0.0,0.0,0.0
2038,7200.76043941,0.0,0.0,0.0,0.0,0.0
2039,7200.76043941,0.0,0.0,0.0,0.0,0.0
2040,7086.20444909,0.0,0.0,0.0,0.0,0.0
2041,7086.20444909,0.0,0.0,0.0,0.0,0.0
2042,7086.20444909,0.0,0.0,0.0,0.0,0.0
2043,6971.64845877,0.0,0.0,0.0,0.0,0.0
2044,6971.64845877,0.0,0.0,0.0,0.0,0.0
2045,6857.09246846,0.0,0.0,0.0,0.0,0.0
2046,6857.09246846,0.0,0.0,0.0,0.0,0.0
2047,6742.53647814,0.0,0.0,0.0,0.0,0.0
2048,6742.53647814,0.0,0.0,0.0,0.0,0.0
2049,6627.98048782,0.0,0.0,0.0,0.0,0.0
2050,6513.4244975,0.0,0.0,0.0,0.0,0.0
2051,6513.4244975,0.0,0.0,0.0,0.0,0.0
2052,6513.4244975,0.0,0.0,0.0,0.0,0.0
2053,6513.4244975,0.0,0.0,0.0,0.0,0.0
2054,6513.4244975,0.0,0.0,0.0,0.0,0.0
2055,6513.4244975,0.0,0.0,0.0,0.0,0.0
2056,6513.4244975,0.0,0.0,0.0,0.0,0.0
2057,6513.4244975,0.0,0.0,0.0,0.0,0.0
2058,6513.4244975,0.0,0.0,0.0,0.0,0.0
2059,6513.4244975,0.0,0.0,0.0,0.0,0.0
2060,6513.4244975,0.0,0.0,0.0,0.0,0.0
2061,6513.4244975,0.0,0.0,0.0,0.0,0.0
2062,6513.4244975,0.0,0.0,0.0,0.0,0.0
2063,6513.4244975,0.0,0.0,0.0,0.0,0.0
2064,6513.4244975,0.0,0.0,0.0,0.0,0.0
2065,6513.4244975,0.0,0.0,0.0,0.0,0.0
2066,6513.4244975,0.0,0.0,0.0,0.0,0.0
2067,6513.4244975,0.0,0.0,0.0,0.0,0.0
2068,6513.4244975,0.0,0.0,0.0,0.0,0.0
2069,6513.4244975,0.0,0.0,0.0,0.0,0.0
2070,6513.4244975,0.0,0.0,0.0,0.0,
