year,Base case cost,"Atka (unnamed stream, site #4) -- unnamed creek 4","Atka (unnamed stream, site #3) -- unnamed creek 3","Atka (unnamed stream, site #2) -- unnamed creek 2","Atka (unnamed stream, site #1) -- unnamed creek 1",Chuniisax creek (atka)
2020,34235.660271,,,,,522471.099289
2021,35844.0469952,107307.659888,685992.891043,510039.86936,1072635.53204,510826.789109
2022,36992.8946553,105041.156762,669813.489382,496471.048474,1046455.31492,499677.710042
2023,37269.4763472,102277.942989,653810.364685,483141.768952,1021017.63524,488371.296619
2024,37948.4749041,100129.501119,638897.974561,470899.982576,997050.284033,477942.532139
2025,38702.9177452,98024.690847,624213.231638,458781.945482,973412.657329,467707.926256
2026,39683.6934385,95951.2564447,609547.17293,446512.109422,949709.3453,457578.936336
2027,40513.5805637,93935.8296828,595395.456762,434758.282319,926886.394161,447757.71638
2028,40567.1034135,91351.8355249,581125.269751,422889.210665,904306.675774,437613.523062
2029,41532.9868281,89400.9505723,567361.69888,411326.841993,882045.296102,428128.213717
2030,42053.0778975,87533.9312944,554500.380348,400809.404733,861403.388759,419108.150861
2031,43018.9613121,85669.38923,541313.120977,389700.832886,840057.207464,410036.566641
2032,44059.1434509,83839.809811,528302.146976,378675.323671,818959.860306,401121.945952
2033,44403.9707284,81355.5588147,514867.36618,367168.280855,797598.384022,391706.910659
2034,45428.1150286,79590.3546356,502377.086234,356549.365017,777337.343907,383161.563612
2035,46086.4935073,77903.1621307,490660.402329,346819.544951,758456.986472,375021.129716
2036,47183.7909717,76206.8032261,478579.064288,336466.645668,738814.919039,366799.443629
2037,47092.9732737,73845.3050648,466613.054768,326381.235442,719979.173509,358268.662784
2038,48173.0873397,72204.8980204,455002.688076,316395.533558,701095.125724,350380.232068
2039,48965.170988,70635.7308137,444044.136239,307148.018326,683365.236081,342840.670171
2040,49390.8450102,68248.6394044,431892.712889,296454.072285,664031.959841,334398.096041
2041,49390.8450102,66846.4546356,422533.57255,289084.536596,649169.389803,327679.31476
2042,49390.8450102,65477.1335714,413393.787056,281887.724395,634655.161241,321118.004944
2043,48592.3897577,63341.4507228,403669.76007,274061.132256,619682.654717,313912.020549
2044,48592.3897577,62035.5643935,394953.381391,267197.717302,605840.80772,307654.667895
2045,47793.9345051,59961.8295274,385642.837617,259696.70841,591524.923812,300745.516684
2046,47793.9345051,58716.4392781,377330.25116,253151.245862,578324.309873,294778.040176
2047,46995.4792526,56701.7826134,368414.035716,245960.737357,564634.630102,288151.971147
2048,46995.4792526,55514.0859217,360486.535528,239718.497851,552045.543659,282460.942014
2049,46197.0240001,53555.7706078,351946.380801,232824.105525,538953.058561,276104.841163
2050,45398.5687476,51624.6395219,343587.672207,226072.586764,526148.71487,269878.997638
2051,45398.5687476,50518.51078,336204.612314,220259.048191,514424.214459,264578.813774
2052,45398.5687476,49438.3069297,328994.592883,214581.764424,502974.507019,259402.85299
2053,45398.5687476,48383.4203612,321953.558309,209037.542016,491793.152139,254348.203743
2054,45398.5687476,47353.2576878,315077.547923,203623.262275,480873.860171,249412.022855
2055,45398.5687476,46347.2394555,308362.694054,198335.879732,470210.489144,244591.53371
2056,45398.5687476,45364.7997763,301805.219578,193172.420223,459797.040885,239884.024786
2057,45398.5687476,44405.3860284,295401.435918,188129.979303,449627.657833,235286.848084
2058,45398.5687476,43468.4585364,289147.740913,183205.720571,439696.619655,230797.417747
2059,45398.5687476,42553.4902899,283040.616934,178396.874193,429998.340264,226413.208404
2060,45398.5687476,41659.9666057,277076.628633,173700.735121,420527.364233,222131.75397
2061,45398.5687476,40787.3848834,271252.421312,169114.66181,411278.364208,217950.646127
2062,45398.5687476,39935.2542957,265564.718852,164636.074595,402246.137625,213867.532986
2063,45398.5687476,39103.095516,260010.321902,160262.454255,393425.603826,209880.117846
2064,45398.5687476,38290.4404652,254586.106181,155991.340681,384811.801368,205986.15772
2065,45398.5687476,37496.8320113,249289.020475,151820.331299,376399.884841,202183.46227
2066,45398.5687476,36721.8237528,244116.085198,147747.079936,368185.12258,198469.892527
2067,45398.5687476,35964.9797566,239064.390634,143769.295435,360162.893876,194843.359544
2068,45398.5687476,35225.8742856,234131.095121,139884.740227,352328.686093,191301.823438
2069,45398.5687476,34504.091601,229313.423734,136091.229291,344678.092576,187843.292094
2070,45398.5687476,33799.2257,224608.666534,132386.628779,337206.809865,
