year,Base case cost,Modeled diesel efficiency
2019,253078.145319,452155.641771
2020,273305.567275,465339.09936
2021,288614.717785,474173.395802
2022,301263.693023,480708.48655
2023,311247.613477,484937.14346
2024,320314.635668,488445.87291
2025,334695.110936,496895.967805
2026,347709.610432,504212.61962
2027,358843.051345,509925.031718
2028,368955.538307,514812.637383
2029,381671.088854,522167.576178
2030,391621.289095,527107.106704
2031,405637.530032,535839.274694
2032,420242.656869,545200.774841
2033,435098.283539,554881.780702
2034,450934.392043,565543.761277
2035,462629.231303,572528.478526
2036,478951.506406,583805.43113
2037,491761.269304,591972.663006
2038,507810.845503,603166.695499
