year,annotation,diesel generation efficiency
2002,,11.46
2003,,12.28
2004,,2.36
2005,,12.15
2006,,12.37
2007,,12.35
2008,,12.5
2009,,12.72
2010,,13.52
2011,,12.16
2012,,12.35
2013,,12.38
2014,,12.75
2015,,13.34
2016,start of forecast,12.82
2017,,12.82
2018,,12.82
2019,,12.82
2020,,12.82
2021,,12.82
2022,,12.82
2023,,12.82
2024,,12.82
2025,,12.82
2026,,12.82
2027,,12.82
2028,,12.82
2029,,12.82
2030,,12.82
2031,,12.82
2032,,12.82
2033,,12.82
2034,,12.82
2035,,12.82
2036,,12.82
2037,,12.82
2038,,12.82
2039,,12.82
2040,,12.82
