year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,73849.12,4304.2,113833.42,88972.54
2018,75055.95,4269.31,113833.42,90053.56
2019,76228.36,4220.92,113833.42,92215.58
2020,77643.63,4185.78,113833.42,93296.6
2021,78856.48,4146.26,113833.42,94377.61
2022,80123.32,4105.57,113833.42,95458.62
2023,81265.7,4072.92,113833.42,96539.63
2024,82343.09,4039.32,113833.42,97620.65
2025,84518.97,3970.97,113833.42,100863.69
2026,85854.22,3931.71,113833.42,101944.7
2027,87097.83,3890.89,113833.42,103025.71
2028,88266.88,3856.92,113833.42,104106.73
2029,89594.15,3815.66,113833.42,106268.75
2030,91074.72,3770.08,113833.42,107349.76
2031,92400.35,3727.91,113833.42,108430.78
2032,93804.16,,,110592.8
2033,95207.5,,,111673.82
2034,96767.04,,,113835.84
2035,98014.67,,,114916.85
2036,99574.12,,,117078.88
