year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,4304.20443737,2797.73288429
2018,4269.30517401,2775.04836311
2019,4220.91591474,2743.59534458
2020,4185.78159691,2720.75803799
2021,4146.26447869,2695.07191115
2022,4105.56742697,2668.61882753
2023,4072.92082447,2647.3985359
2024,4039.31735716,2625.55628215
2025,3970.97310515,2581.13251835
2026,3931.70968595,2555.61129587
2027,3890.89410818,2529.08117031
2028,3856.91641817,2506.99567181
2029,3815.66136178,2480.17988515
2030,3770.07943864,2450.55163511
2031,3727.9114653,2423.14245245
