year,Base case cost,Modeled residential energy efficiency
2017,814906.927325,789934.651562
2018,860617.644649,825999.710726
2019,932073.46576,885002.796139
2020,967414.173156,913200.566822
2021,995655.369828,935786.945724
2022,1019126.53383,954612.566838
2023,1038964.63506,970574.358271
2024,1057679.65097,985703.513672
2025,1099874.03472,1024123.73147
2026,1123221.80238,1043269.07314
2027,1144045.70802,1060416.22478
2028,1163663.22091,1076642.75589
2029,1197683.90784,1106840.81632
2030,1214860.86612,1121195.05831
2031,1239430.47586,1141791.86545
2032,1275962.70501,1174394.03865
2033,1301157.12035,1195700.14281
2034,1338564.07735,1229259.55499
2035,1359764.43113,1247368.49017
2036,1397962.80857,1281798.01156
