year,Base case cost,Modeled non-residential energy efficiency
2017,787665.445173,864323.102429
2018,828820.619791,900407.175796
2019,886437.864255,952304.934206
2020,913874.647333,975425.575785
2021,933080.395488,990750.416446
2022,946798.787027,1000900.63183
2023,956401.661104,1007185.9961
2024,964632.696028,1012227.764
2025,974235.570105,1018647.22845
2026,986582.12249,1027754.27809
2027,996184.996568,1034301.63043
2028,1004416.03149,1039599.24606
2029,1015390.74472,1047580.00331
2030,1020878.10134,1050373.8408
2031,1033224.65372,1059782.35292
