year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2009,,31732.08,2868799.0,2868799.0
2010,,31732.08,1869048.0,1869048.0
2011,,31732.08,1885810.0,1885810.0
2012,,31732.08,3656038.0,3656038.0
2013,,31732.08,2681948.0,2681948.0
2014,start of forecast,31732.08,2595000.0,2595000.0
2015,,31732.08,2595000.0,2595000.0
2016,,31732.08,2594000.0,2594000.0
2017,,31732.08,2594000.0,2594000.0
2018,,31732.08,2594000.0,2594000.0
2019,,31732.08,2594000.0,2594000.0
2020,,31732.08,2595000.0,2595000.0
2021,,31732.08,2595000.0,2595000.0
2022,,31732.08,2596000.0,2596000.0
2023,,31732.08,2597000.0,2597000.0
2024,,31732.08,2598000.0,2598000.0
2025,,31732.08,2599000.0,2599000.0
2026,,31732.08,2600000.0,2600000.0
2027,,31732.08,2601000.0,2601000.0
2028,,31732.08,2602000.0,2602000.0
2029,,31732.08,2603000.0,2603000.0
2030,,31732.08,2604000.0,2604000.0
2031,,31732.08,2606000.0,2606000.0
2032,,31732.08,2607000.0,2607000.0
2033,,31732.08,2607000.0,2607000.0
2034,,31732.08,2609000.0,2609000.0
2035,,31732.08,2610000.0,2610000.0
2036,,31732.08,2611000.0,2611000.0
2037,,31732.08,2612000.0,2612000.0
2038,,31732.08,2613000.0,2613000.0
2039,,31732.08,2613000.0,2613000.0
2040,,31732.08,2614000.0,2614000.0
