year,Base case cost,Modeled water and wastewater efficiency
2017,74282.1369919,70187.153554
2018,79440.8964611,73790.8962844
2019,86699.0815664,78861.0586435
2020,90078.6279663,81221.5705267
2021,92493.8033787,82907.9663187
2022,94187.8152778,84090.3038282
2023,95395.745475,84932.8148193
2024,96355.2355455,85601.5650735
2025,97421.7513719,86344.9547974
2026,98844.4540829,87337.305469
2027,100014.606455,88152.967357
2028,100947.625764,88802.9486318
2029,102334.355075,89769.7412335
2030,103033.143521,90256.1423813
2031,104422.651506,91225.0091623
