year,Base case cost,Modeled wind power
2019,958965.799109,1092748.39575
2020,1025892.25334,1136455.83796
2021,1074088.5337,1167838.351
2022,1108941.62144,1190681.60494
2023,1134633.92247,1207566.69451
2024,1155750.25222,1221477.12398
2025,1179181.10011,1236901.41599
2026,1209528.08548,1256839.87874
2027,1235297.33075,1273801.91255
2028,1256483.52941,1287782.21093
2029,1286894.19277,1307784.35166
2030,1303509.72666,1318795.29644
2031,1334473.15037,1339350.19753
2032,1367264.66311,1360932.53205
2033,1399544.09867,1382002.78939
2034,1432921.97959,1404171.49209
2035,1454246.14723,1418289.75945
2036,1489441.50418,1441475.2826
2037,1510802.81732,1455630.69546
2038,1546045.93276,1478863.9771
