year,Base case diesel consumed,Chignik lagoon (through creek),Chignik hydroelectric dam project -- packers creek,Chignik (mud bay lake creek),Chignik lagoon (crazy creek)
2020,41208.2488449,,0.0,,
2021,41208.2488449,0.0,0.0,0.0,0.0
2022,41208.2488449,0.0,0.0,0.0,0.0
2023,41208.2488449,0.0,0.0,0.0,0.0
2024,41208.2488449,0.0,0.0,0.0,0.0
2025,41208.2488449,0.0,0.0,0.0,0.0
2026,41208.2488449,0.0,0.0,0.0,0.0
2027,41208.2488449,0.0,0.0,0.0,0.0
2028,41208.2488449,0.0,0.0,0.0,0.0
2029,41208.2488449,0.0,0.0,0.0,0.0
2030,41208.2488449,0.0,0.0,0.0,0.0
2031,41208.2488449,0.0,0.0,0.0,0.0
2032,41208.2488449,0.0,0.0,0.0,0.0
2033,41208.2488449,0.0,0.0,0.0,0.0
2034,41208.2488449,0.0,0.0,0.0,0.0
2035,41208.2488449,0.0,0.0,0.0,0.0
2036,41208.2488449,0.0,0.0,0.0,0.0
2037,41208.2488449,0.0,0.0,0.0,0.0
2038,41208.2488449,0.0,0.0,0.0,0.0
2039,41208.2488449,0.0,0.0,0.0,0.0
2040,41208.2488449,0.0,0.0,0.0,0.0
2041,41208.2488449,0.0,0.0,0.0,0.0
2042,41208.2488449,0.0,0.0,0.0,0.0
2043,41208.2488449,0.0,0.0,0.0,0.0
2044,41208.2488449,0.0,0.0,0.0,0.0
2045,41208.2488449,0.0,0.0,0.0,0.0
2046,41208.2488449,0.0,0.0,0.0,0.0
2047,41208.2488449,0.0,0.0,0.0,0.0
2048,41208.2488449,0.0,0.0,0.0,0.0
2049,41208.2488449,0.0,0.0,0.0,0.0
2050,41208.2488449,0.0,0.0,0.0,0.0
