year,Base case cost,Chignik lagoon (through creek),Chignik hydroelectric dam project -- packers creek,Chignik (mud bay lake creek),Chignik lagoon (crazy creek)
2020,147525.530865,,154503.89043,,
2021,154118.85068,831602.301023,152165.601153,1794583.3021,243374.830991
2022,159475.92303,814349.102203,149794.966299,1759328.79211,239389.605558
2023,162772.582937,797701.470338,147324.01033,1724968.58735,235310.595899
2024,165657.160356,781478.832115,144883.992481,1691425.46959,231294.79583
2025,169365.902752,765543.681906,142573.008807,1658637.16576,227459.390841
2026,173486.727637,749930.123664,140356.391686,1626599.79492,223762.1548
2027,177195.470033,734715.315068,138166.30797,1595324.39199,220121.049484
2028,180080.047452,719933.764156,135968.157858,1564807.92472,216493.957755
2029,184200.872337,705363.076671,133926.573011,1534960.84816,213078.018037
2030,186673.367267,691295.246072,131807.820029,1505867.86746,209592.014915
2031,191206.27464,677336.854931,129909.392678,1477382.27714,206392.656613
2032,195739.182013,663694.566216,128064.019002,1449560.58244,203278.561466
2033,200272.089386,650360.970932,126270.455498,1422387.2226,200247.731025
2034,204804.996759,637328.835019,124527.488024,1395847.00424,197298.214028
2035,208101.656667,624719.642078,122734.331433,1369968.55008,194308.503317
2036,213046.646528,612226.542877,121122.225779,1344635.95407,191555.80722
2037,215931.223947,600228.448945,119391.24267,1319965.4556,188679.504798
2038,220876.213808,588290.280426,117872.274904,1295798.3554,186076.49164
2039,224584.956204,576748.410906,116298.646178,1272237.06028,183426.09802
2040,229942.028554,565296.616166,114901.701445,1249166.97685,181005.700849
2041,229942.028554,554657.21663,113116.016796,1226821.52726,178135.907114
2042,229942.028554,544267.17777,111372.184088,1204999.79862,175333.374102
2043,229942.028554,534120.655997,109669.222552,1183689.5179,172596.525606
2044,229942.028554,524211.943239,108006.174162,1162878.69669,169923.821973
2045,229942.028554,514535.466116,106382.103499,1142555.62949,167313.75988
2046,229942.028554,505085.781014,104796.096923,1122708.8833,164764.871006
2047,229942.028554,495857.573267,103247.262437,1103327.29599,162275.721812
2048,229942.028554,486845.651401,101734.728719,1084399.96413,159844.911988
2049,229942.028554,478044.946319,100257.644987,1065916.24133,157471.074233
2050,229942.028554,469450.508013,98815.1804475,1047865.73131,155152.873368
