year,Base case diesel consumed,Modeled residential energy efficiency
2017,22955.6918135,17595.9358267
2018,22955.6918135,17595.9358267
2019,22955.6918135,17595.9358267
2020,22955.6918135,17595.9358267
2021,21881.5974465,16521.8414597
2022,21881.5974465,16521.8414597
2023,21881.5974465,16521.8414597
2024,21881.5974465,16521.8414597
2025,21881.5974465,16521.8414597
2026,21881.5974465,16521.8414597
2027,21881.5974465,16521.8414597
2028,20807.5030795,15447.7470927
2029,21881.5974465,16521.8414597
2030,21881.5974465,16521.8414597
2031,21881.5974465,16521.8414597
