year,Base case cost,Modeled diesel efficiency
2019,137635.551142,285356.042124
2020,147525.530865,290591.476221
2021,154118.85068,292917.965215
2022,159475.92303,294206.548461
2023,162772.582937,293705.970653
2024,165657.160356,292912.745836
2025,169365.902752,292948.8143
2026,173486.727637,293437.679483
2027,177195.470033,293628.26807
2028,180080.047452,293144.17018
2029,184200.872337,293856.741053
2030,186673.367267,293141.930771
2031,191206.27464,294369.657215
2032,195739.182013,295665.190634
2033,200272.089386,297026.941728
2034,204804.996759,298453.358723
2035,208101.656667,298819.064453
2036,213046.646528,300744.922131
2037,215931.223947,300857.902223
2038,220876.213808,302902.797808
