year,Base case diesel consumed,Modeled residential ashp
2017,3628.66881113,-19327.0230482
2018,3628.66881113,-19327.0230482
2019,3628.66881113,-19327.0230482
2020,3628.66881113,-19327.0230482
2021,3458.8837852,-19496.8080742
2022,3458.8837852,-19496.8080742
2023,3458.8837852,-19496.8080742
2024,3458.8837852,-19496.8080742
2025,3458.8837852,-19496.8080742
2026,3458.8837852,-19496.8080742
2027,3458.8837852,-19496.8080742
2028,3289.09875928,-19666.5931001
2029,3458.8837852,-19496.8080742
2030,3458.8837852,-19496.8080742
2031,3458.8837852,-19496.8080742
