year,Base case cost,Modeled non-residential energy efficiency
2017,278526.485994,295862.751226
2018,299709.377862,314101.564126
2019,329365.426478,340127.839661
2020,343890.838045,352323.14592
2021,353574.445756,360110.000533
2022,361442.377022,366259.30693
2023,366284.180877,369661.865997
2024,370520.759251,372534.306826
2025,375967.788589,376538.969877
2026,382020.043408,381120.999244
2027,387467.072746,385171.249507
2028,391703.65112,388134.890334
2029,397755.905939,392782.918347
2030,401387.258831,395234.71316
2031,408044.739132,400478.504874
