year,Base case diesel consumed,Modeled transmission and interties
2021,83379.3562934,41689.6781467
2022,83379.3562934,41689.6781467
2023,83379.3562934,41689.6781467
2024,83379.3562934,41689.6781467
2025,83379.3562934,41689.6781467
2026,83379.3562934,41689.6781467
2027,83379.3562934,41689.6781467
2028,83379.3562934,41689.6781467
2029,83379.3562934,41689.6781467
2030,83379.3562934,41689.6781467
2031,83379.3562934,41689.6781467
2032,83379.3562934,41689.6781467
2033,83379.3562934,41689.6781467
2034,83200.4306362,41600.2153181
2035,83200.4306362,41600.2153181
2036,83200.4306362,41600.2153181
2037,83200.4306362,41600.2153181
2038,83200.4306362,41600.2153181
2039,83200.4306362,41600.2153181
2040,83200.4306362,41600.2153181
