year,Base case cost,"Perryvillle (unnamed stream, site #1) -- unnamed creek, 1","Perryville -- unnamed creek, 2"
2021,176745.817144,1407928.37726,1474635.80723
2022,187824.72138,1369324.50145,1450940.75967
2023,197795.193181,1335529.78298,1428814.26089
2024,206443.815309,1303244.35934,1406825.41948
2025,215001.802985,1269590.91683,1384587.78968
2026,223500.554087,1233560.33467,1361717.14231
2027,231595.823365,1200925.95465,1340257.86099
2028,239367.968541,1169705.92363,1319474.81741
2029,241529.231068,1131528.14708,1292864.54551
2030,243035.120666,1097466.92927,1267772.19519
2031,249362.528203,1062757.91721,1245655.69713
2032,259699.511245,1032708.72073,1228093.3837
2033,271602.438959,1004860.46911,1212628.8599
2034,283789.786289,976894.22812,1197567.57797
2035,291411.072604,951102.667145,1180850.78705
2036,299690.540356,920425.519628,1162884.15136
2037,303126.976252,890595.501152,1142560.98178
2038,309471.746126,859125.178373,1123615.73146
2039,316367.253249,831823.946661,1106884.19304
2040,326847.842534,804555.557826,1092585.99666
2041,329971.057754,785792.949461,1077378.72138
2042,331532.666483,765981.683595,1061039.46048
2043,331532.665654,745109.734722,1043558.14149
2044,330491.594114,723685.901562,1025445.4703
2045,329971.058436,703260.325266,1008253.45061
2046,329971.058269,683821.80886,991972.704334
2047,330491.594173,665359.41882,976594.074172
2048,331012.130041,647341.940913,961588.080547
2049,330491.594161,628717.876016,945904.918259
2050,333614.809271,614161.863587,934220.881031
2051,333614.809271,596896.992966,919760.673689
2052,333614.809266,580036.767675,905639.377393
2053,333614.809269,563571.704058,891849.0491
2054,333614.809269,547492.540258,878381.931533
2055,333614.809268,531790.231868,865230.44954
2056,333614.809269,516455.94634,852387.205415
2057,333614.809269,501481.058082,839844.974785
2058,333614.809269,486857.143904,827596.702799
2059,333614.809269,472575.977606,815635.499597
2060,333614.809269,458629.526096,803954.637056
2061,333614.809269,445009.944657,792547.544825
2062,333614.809269,431709.572048,781407.806226
2063,333614.809269,418720.926958,770529.155281
2064,333614.809269,406036.703272,759905.472748
2065,333614.809269,393649.766191,749530.782866
2066,333614.809269,381553.147661,739399.24954
2067,333614.809269,369740.043851,729505.174212
2068,333614.809269,358203.809566,719842.991195
2069,333614.809269,346937.955889,710407.26569
2070,333614.809269,335936.145619,701192.689969
