year,Base case cost,Modeled diesel efficiency
2019,152184.001839,307018.796959
2020,165791.676518,315436.214103
2021,176745.817144,321533.980605
2022,187824.72138,327835.650054
2023,197795.193181,333218.014468
2024,206443.815309,337484.987208
2025,215001.802985,341753.832459
2026,223500.554087,346051.118713
2027,231595.823365,350061.966982
2028,239367.968541,353857.546266
2029,241529.231068,352628.963913
2030,243035.120666,350879.43254
2031,249362.528203,353586.189633
2032,259699.511245,360009.392667
2033,271602.438959,367925.886175
2034,283789.786289,376169.013675
2035,291411.072604,380327.651894
2036,299690.540356,385149.55415
2037,303126.976252,385632.095965
2038,309471.746126,388820.487692
