year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.69
2011,,4.34,5.75
2013,,4.55,5.62
2014,,,5.42
2016,,2.41,3.69
2017,,2.96,4.24
2018,,3.38,4.66
2019,,3.96,5.24
2020,,4.24,5.52
2021,,4.43,5.71
2022,,4.58,5.86
2023,,4.68,5.96
2024,,4.76,6.04
2025,,4.86,6.14
2026,,4.99,6.27
2027,,5.09,6.37
2028,,5.18,6.46
2029,,5.29,6.57
2030,,5.36,6.64
2031,,5.49,6.77
2032,,5.62,6.9
2033,,5.75,7.03
2034,,5.89,7.17
2035,,5.97,7.25
2036,,6.11,7.39
2037,,6.2,7.48
2038,,6.34,7.62
2039,,6.45,7.73
2040,,6.6,7.88
