year,Base case diesel consumed,Modeled transmission and interties
2021,39897.4756534,-1666.52321872
2022,41009.7644935,-1658.40133153
2023,42263.9301668,-1666.14074735
2024,43370.5494346,-1663.68843253
2025,44239.0541121,-1662.7435038
2026,44789.6901978,-1664.19089456
2027,45500.1617613,-1663.54094363
2028,46210.0325369,-1663.49178066
2029,45657.6996348,-1663.74120629
2030,45342.3732586,-1663.59131019
2031,45421.2255378,-1663.60809905
2032,46209.8774457,-1663.64687184
2033,47235.2067754,-1663.61542703
2034,48181.6275533,-1663.62346597
2035,48812.5749756,-1663.62858828
2036,49049.1882743,-1663.62249376
2037,48891.4477826,-1663.62484934
2038,48812.5782534,-1663.62531046
2039,49049.1865502,-1663.62421785
2040,49522.4003839,-1663.62479255
