year,Base case diesel consumed,"Perryvillle (unnamed stream, site #1) -- unnamed creek, 1","Perryville -- unnamed creek, 2"
2021,39897.4756534,0.0,0.0
2022,41009.7644935,1112.28884014,1112.28884014
2023,42263.9301668,2366.45451343,2366.45451343
2024,43370.5494346,3473.0737812,3473.0737812
2025,44239.0541121,4341.57845868,4341.57845868
2026,44789.6901978,4892.2145444,4892.2145444
2027,45500.1617613,5602.68610795,5602.68610795
2028,46210.0325369,6312.55688353,6312.55688353
2029,45657.6996348,5760.22398143,5760.22398143
2030,45342.3732586,5444.89760525,5444.89760525
2031,45421.2255378,5523.74988446,5523.74988446
2032,46209.8774457,6312.40179235,6312.40179235
2033,47235.2067754,7337.73112206,7337.73112206
2034,48181.6275533,8284.15189994,8284.15189994
2035,48812.5749756,8915.09932218,8915.09932218
2036,49049.1882743,9151.7126209,9151.7126209
2037,48891.4477826,8993.97212919,8993.97212919
2038,48812.5782534,8915.1026,8915.1026
2039,49049.1865502,9151.71089681,9151.71089681
2040,49522.4003839,9624.92473052,9624.92473052
2041,49995.6148112,10098.1391579,10098.1391579
2042,50232.2221944,10334.746541,10334.746541
2043,50232.2220688,10334.7464154,10334.7464154
2044,50074.4839567,10177.0083034,10177.0083034
2045,49995.6149145,10098.1392611,10098.1392611
2046,49995.6148892,10098.1392359,10098.1392359
2047,50074.4839655,10177.0083122,10177.0083122
2048,50153.3530365,10255.8773832,10255.8773832
2049,50074.4839638,10177.0083104,10177.0083104
2050,50547.6983743,10650.222721,10650.222721
2051,50547.6983745,10650.2227211,10650.2227211
2052,50547.6983737,10650.2227203,10650.2227203
2053,50547.6983742,10650.2227208,10650.2227208
2054,50547.6983741,10650.2227207,10650.2227207
2055,50547.698374,10650.2227206,10650.2227206
2056,50547.6983741,10650.2227207,10650.2227207
2057,50547.698374,10650.2227207,10650.2227207
2058,50547.698374,10650.2227206,10650.2227206
2059,50547.698374,10650.2227207,10650.2227207
2060,50547.698374,10650.2227207,10650.2227207
2061,50547.698374,10650.2227207,10650.2227207
2062,50547.698374,10650.2227207,10650.2227207
2063,50547.698374,10650.2227207,10650.2227207
2064,50547.698374,10650.2227207,10650.2227207
2065,50547.698374,10650.2227207,10650.2227207
2066,50547.698374,10650.2227207,10650.2227207
2067,50547.698374,10650.2227207,10650.2227207
2068,50547.698374,10650.2227207,10650.2227207
2069,50547.698374,10650.2227207,10650.2227207
2070,50547.698374,10650.2227207,10650.2227207
