year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,65792.0299815,48686.1021863
2018,65792.0299815,48686.1021863
2019,65792.0299815,48686.1021863
2020,65792.0299815,48686.1021863
2021,65792.0299815,48686.1021863
2022,65792.0299815,48686.1021863
2023,65792.0299815,48686.1021863
2024,65792.0299815,48686.1021863
2025,65792.0299815,48686.1021863
2026,65792.0299815,48686.1021863
2027,65792.0299815,48686.1021863
2028,65792.0299815,48686.1021863
2029,65792.0299815,48686.1021863
2030,65792.0299815,48686.1021863
2031,65792.0299815,48686.1021863
