year,Base case diesel consumed,Modeled residential ashp
2017,10945.2495153,5264.11803067
2018,10945.2495153,5264.11803067
2019,8975.21881308,3294.08732845
2020,8975.21881308,3294.08732845
2021,8975.21881308,3294.08732845
2022,8975.21881308,3294.08732845
2023,8975.21881308,3294.08732845
2024,8975.21881308,3294.08732845
2025,8975.21881308,3294.08732845
2026,8975.21881308,3294.08732845
2027,8975.21881308,3294.08732845
2028,7005.18811086,1324.05662623
2029,7005.18811086,1324.05662623
2030,7005.18811086,1324.05662623
2031,7005.18811086,1324.05662623
