year,annotation,line losses
2002,,-inf
2003,,-inf
2004,,-inf
2005,,-inf
2006,,0.14
2007,,0.177
2008,,0.192
2009,,0.206
2010,,0.222
2011,,0.264
2012,,0.234
2013,,0.278
2016,start of forecast,0.2589
2017,,0.2589
2018,,0.2589
2019,,0.2589
2020,,0.2589
2021,,0.2589
2022,,0.2589
2023,,0.2589
2024,,0.2589
2025,,0.2589
2026,,0.2589
2027,,0.2589
2028,,0.2589
2029,,0.2589
2030,,0.2589
2031,,0.2589
2032,,0.2589
2033,,0.2589
2034,,0.2589
2035,,0.2589
2036,,0.2589
2037,,0.2589
2038,,0.2589
2039,,0.2589
2040,,0.2589
