year,Base case cost,"Hughes (creek northwest) -- unnamed creek, northwest of hughes","Hughes -- unnamed creek, west of hughes"
2021,219288.826208,904133.658698,861081.380209
2022,223814.486786,908044.956591,865084.832505
2023,227105.876298,910889.536877,867996.434175
2024,229574.418431,913022.972092,870180.135427
2025,233431.016214,916432.76065,873656.945369
2026,237717.012508,920216.096564,877515.68034
2027,241192.144638,923300.270622,880658.498109
2028,244681.257185,926398.425096,883815.296294
2029,248600.766843,929871.125528,887355.01811
2030,251284.008231,932275.111151,889800.892098
2031,256069.305118,936501.896506,894111.454183
2032,260455.161531,940385.09254,898070.049273
2033,265488.111512,944915.382142,902675.737932
2034,270341.313279,949210.072378,907054.204898
2035,273520.859458,952054.511637,909948.910195
2036,277331.521587,955362.513387,913332.311002
2037,280532.03839,958227.923271,916247.986924
2038,285446.15483,962583.528179,920687.368562
2039,289101.035174,965847.45045,924009.934544
2040,294052.099858,970240.003602,928486.264425
2041,294052.099858,970240.003602,928486.264425
2042,294739.137474,970927.041219,929173.302042
2043,294739.137474,970927.041219,929173.302042
2044,294739.137474,970927.041219,929173.302042
2045,294739.137474,970927.041219,929173.302042
2046,294739.137474,970927.041219,929173.302042
2047,294739.137474,970927.041219,929173.302042
2048,294052.099858,970240.003602,928486.264425
2049,293365.062241,969552.965986,927799.226809
2050,292678.024625,968865.928369,927112.189192
