year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,37400.8,8441.68,40365.26,11554.13
2018,37400.8,8442.28,40365.26,11554.13
2019,37400.8,8442.83,40365.26,11554.13
2020,37484.29,8443.43,40365.26,11554.13
2021,37484.29,8444.02,40365.26,11554.13
2022,37484.29,8444.51,40365.26,11554.13
2023,37567.77,8444.93,40365.26,11554.13
2024,37567.77,8445.34,40365.26,12121.5
2025,37567.77,8445.81,40365.26,12121.5
2026,37651.26,8446.36,40365.26,12121.5
2027,37651.26,8447.04,40365.26,12121.5
2028,37651.26,8447.65,40365.26,12121.5
2029,37734.74,8448.21,40365.26,12121.5
2030,37734.74,8448.78,40365.26,12688.87
2031,37734.74,8449.41,40365.26,12688.87
2032,37818.22,8449.98,40365.26,12688.87
2033,37818.22,8450.52,40365.26,12688.87
2034,37901.71,8451.04,40365.26,12688.87
2035,37901.71,8451.48,40365.26,12688.87
2036,37901.71,8451.94,40365.26,13256.25
2037,37901.71,8452.37,40365.26,13256.25
2038,37985.19,8452.78,40365.26,13256.25
2039,37985.19,8453.17,40365.26,13256.25
2040,37985.19,8453.53,40365.26,13256.25
