year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8441.68447893,5487.09491131
2018,8442.27551664,5487.47908582
2019,8442.82861617,5487.83860051
2020,8443.43056961,5488.22987025
2021,8444.0161628,5488.61050582
2022,8444.51141426,5488.93241927
2023,8444.9309228,5489.20509982
2024,8445.34358565,5489.47333067
2025,8445.81294894,5489.77841681
2026,8446.35988334,5490.13392417
2027,8447.04092916,5490.57660396
2028,8447.64799352,5490.97119579
2029,8448.20857927,5491.33557652
2030,8448.77901319,5491.70635858
2031,8449.40862962,5492.11560925
