year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,40365.260544,29870.2928026
2018,40365.260544,29870.2928026
2019,40365.260544,29870.2928026
2020,40365.260544,29870.2928026
2021,40365.260544,29870.2928026
2022,40365.260544,29870.2928026
2023,40365.260544,29870.2928026
2024,40365.260544,29870.2928026
2025,40365.260544,29870.2928026
2026,40365.260544,29870.2928026
2027,40365.260544,29870.2928026
2028,40365.260544,29870.2928026
2029,40365.260544,29870.2928026
2030,40365.260544,29870.2928026
2031,40365.260544,29870.2928026
