year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,457785
2004,,0,0,0,0,0,469961
2005,,0,0,0,0,0,462985
2006,,0,0,0,0,0,489373
2007,,0,0,0,0,0,508123
2008,,0,0,0,0,0,427812
2009,,0,0,0,0,0,418535
2010,,0,0,0,0,0,422593
2011,,0,0,0,0,0,420600
2012,,0,0,0,0,0,431519
2013,,0,0,0,0,0,435376
2014,start of forecast,0,0,0,0,0,446000
2015,,0,0,0,0,0,447000
2016,,0,0,0,0,0,447000
2017,,0,0,0,0,0,448000
2018,,0,0,0,0,0,448000
2019,,0,0,0,0,0,448000
2020,,0,0,0,0,0,449000
2021,,0,0,0,0,0,449000
2022,,0,0,0,0,0,449000
2023,,0,0,0,0,0,450000
2024,,0,0,0,0,0,450000
2025,,0,0,0,0,0,450000
2026,,0,0,0,0,0,451000
2027,,0,0,0,0,0,451000
2028,,0,0,0,0,0,451000
2029,,0,0,0,0,0,452000
2030,,0,0,0,0,0,452000
2031,,0,0,0,0,0,452000
2032,,0,0,0,0,0,453000
2033,,0,0,0,0,0,453000
2034,,0,0,0,0,0,454000
2035,,0,0,0,0,0,454000
2036,,0,0,0,0,0,454000
2037,,0,0,0,0,0,454000
2038,,0,0,0,0,0,455000
2039,,0,0,0,0,0,455000
2040,,0,0,0,0,0,455000
