year,Base case diesel consumed,Modeled solar power
2020,37484.2873086,36794.9454883
2021,37484.2873086,36800.4602229
2022,37484.2873086,36805.9308395
2023,37567.7712447,36894.8416274
2024,37567.7712447,36900.2250643
2025,37567.7712447,36905.5654338
2026,37651.2551808,36994.3470164
2027,37651.2551808,36999.6022817
2028,37651.2551808,37004.8155049
2029,37734.7391169,37093.4709584
2030,37734.7391169,37098.6011036
2031,37734.7391169,37103.6902077
2032,37818.223053,37192.2225351
2033,37818.223053,37197.2305393
2034,37901.7069891,37285.6824155
2035,37901.7069891,37290.6106121
2036,37901.7069891,37295.4993831
2037,37901.7069891,37300.3490439
2038,37985.1909252,37388.6438436
2039,37985.1909252,37393.4162202
