year,Base case cost,Modeled solar power
2020,159308.221061,161094.122347
2021,165680.549904,167273.162455
2022,170178.664381,171615.968387
2023,173938.780863,175244.406779
2024,176568.52485,177758.874109
2025,179573.94655,180645.170257
2026,184114.637834,185049.848065
2027,187126.738248,187948.559472
2028,189762.326111,190479.922574
2029,193956.559061,194553.231958
2030,196220.643408,196724.630614
2031,199994.117319,200382.50491
2032,204596.586717,204865.795495
2033,208756.591252,208909.347379
2034,213386.610349,213425.585129
2035,216039.729838,215991.984725
2036,220208.917607,220052.378205
2037,222862.037096,222623.272804
2038,227531.293642,227188.522356
2039,230949.960825,230517.434842
