year,Base case cost,Modeled non-residential energy efficiency
2017,336360.72557,335368.315168
2018,358733.56548,354932.277848
2019,389571.804276,382250.440804
2020,404083.91665,394673.657837
2021,414363.329582,403249.589035
2022,421619.38577,409082.588923
2023,427061.42791,413277.02277
2024,431294.127352,416384.859859
2025,436131.498144,420062.892684
2026,442782.882982,425415.517258
2027,447620.253774,429127.887555
2028,451852.953216,432304.418918
2029,457899.666706,437154.348935
2030,461527.694799,439810.453089
2031,467574.408289,444691.612861
