year,Base case cost,Unalakleet (anvik river)
2021,165680.549904,3132904.36664
2022,170178.664381,3031644.90201
2023,173938.780863,2937810.07535
2024,176568.52485,2848872.55301
2025,179573.94655,2760023.17446
2026,184114.637834,2668197.97957
2027,187126.738248,2582835.71107
2028,189762.326111,2500866.85439
2029,193956.559061,2415824.62547
2030,196220.643408,2338816.31558
2031,199994.117319,2256518.76202
2032,204596.586717,2174486.85287
2033,208756.591252,2093503.97778
2034,213386.610349,2014447.659
2035,216039.729838,1943199.42682
2036,220208.917607,1866493.74671
2037,222862.037096,1797991.09124
2038,227531.293642,1724466.707
2039,230949.960825,1655166.69375
2040,235888.035645,1580286.85402
2041,235888.035645,1528881.07169
2042,236406.470889,1479198.54763
2043,236406.470889,1430174.17285
2044,236406.470889,1382298.80718
2045,236406.470889,1335545.52047
2046,236406.470889,1289888.01388
2047,236406.470889,1245300.60527
2048,236406.470889,1201758.21367
2049,236406.470889,1159236.34702
2050,236406.470889,1117711.08666
2051,236406.470889,1077159.07464
2052,236406.470889,1037557.50024
2053,236406.470889,998884.088062
2054,236406.470889,961117.083723
2055,236406.470889,924235.243571
2056,236406.470889,888217.821565
2057,236406.470889,853044.55778
2058,236406.470889,818695.667683
2059,236406.470889,785151.829444
2060,236406.470889,752394.174802
2061,236406.470889,720404.277958
2062,236406.470889,689164.144063
2063,236406.470889,658656.20089
2064,236406.470889,628863.287719
2065,236406.470889,599768.646211
2066,236406.470889,571355.909694
2067,236406.470889,543609.097209
2068,236406.470889,516512.600419
2069,236406.470889,490051.178049
2070,236406.470889,464209.945172
