year,Base case cost,Modeled biomass for heat (pellet)
2017,4392174.6,5044920.66341
2018,4803575.22,5327102.57306
2019,5367346.44,5718243.67861
2020,5656850.58,5913993.14861
2021,5839695.3,6033908.88585
2022,5992065.9,6132332.22907
2023,6083488.26,6187518.49879
2024,6174910.62,6242939.85688
2025,6266332.98,6298590.79341
2026,6388229.46,6376204.82961
2027,6494888.88,6443168.35797
2028,6586311.24,6499476.24695
2029,6692970.66,6566862.38726
2030,6769155.96,6612713.53228
2031,6891052.44,6691372.15781
2032,,
2033,,
2034,,
2035,,
2036,,
