year,Base case cost,Modeled biomass for heat (cordwood)
2017,4392174.6,5600012.41002
2018,4803575.22,5881470.59239
2019,5367346.44,6276126.74826
2020,5656850.58,6468506.20948
2021,5839695.3,6582528.34871
2022,5992065.9,6674513.78619
2023,6083488.26,6721917.877
2024,6174910.62,6769795.28691
2025,6266332.98,6818134.92245
2026,6388229.46,6889458.96286
2027,6494888.88,6949957.30978
2028,6586311.24,6999619.63157
2029,6692970.66,7060968.85138
2030,6769155.96,7100195.59745
2031,6891052.44,7173622.77934
2032,,
2033,,
2034,,
2035,,
2036,,
