year,Base case cost,Modeled residential energy efficiency
2017,11422136.2408,10885880.5
2018,12092380.8775,11410323.015
2019,12999157.3582,12128382.0978
2020,13422598.2891,12442184.9782
2021,13681519.2414,12622599.5929
2022,13855868.1763,12727771.6409
2023,13915067.1138,12735823.7473
2024,13951036.2642,12721232.0468
2025,13973773.747,12693980.9245
2026,14032313.9956,12694376.3959
2027,14084370.04,12693190.9026
2028,14098099.7804,12658569.5543
2029,14043235.1166,12551516.7532
2030,13936025.4814,12401342.2437
2031,13917205.4554,12326981.1783
2032,13985915.3298,12340634.7247
2033,14074292.0982,12370071.0129
2034,14159204.3504,12396505.0414
2035,14161471.4566,12353817.8559
2036,14178512.3592,12313272.7999
