year,Base case cost,Modeled water and wastewater efficiency
2017,115243.763177,236785.742577
2018,122998.984918,238531.273713
2019,133506.975336,242270.814318
2020,138682.643724,242391.958542
2021,141875.91578,241219.345918
2022,144323.17309,239606.451691
2023,145476.249394,237171.305824
2024,146557.563024,234761.337483
2025,147475.354272,232310.041544
2026,148921.515828,230297.409108
2027,150218.231233,228253.299399
2028,151123.337065,226005.16252
2029,151739.854263,223617.851947
2030,151767.275542,220887.252569
2031,152719.443346,218863.984185
