year,Base case cost,Modeled water and wastewater efficiency
2017,72148.6695034,52980.0480004
2018,76456.428297,55865.0716216
2019,82117.7231416,59656.3786607
2020,84824.0337643,61469.8158289
2021,86545.196681,62623.9449721
2022,87897.081805,63530.7451555
2023,88756.6100962,64107.8871654
2024,89492.7983463,64602.6238348
2025,90474.4918356,65262.1619067
2026,91455.863406,65921.6505314
2027,92436.946237,66581.0781235
2028,93171.8746641,67075.6830194
2029,94152.1516177,67735.0106283
2030,94763.3973031,68147.1615693
2031,95866.7384295,68888.650443
