year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,5665.31,310616.03,506722.91,20217.44,430385.25,552966.31
2018,6382.18,346901.02,549190.75,20276.73,438518.43,558199.43
2019,7295.31,395281.0,599641.04,20298.51,449362.67,559943.8
2020,7767.43,419470.99,626335.35,20321.36,454784.79,561688.18
2021,8102.3,435597.65,647846.13,20352.44,458399.53,565176.92
2022,8360.17,449036.53,661382.55,20359.01,461411.82,565176.92
2023,8506.81,457099.86,669504.4,20356.16,463219.19,565176.92
2024,8604.4,463819.3,673452.81,20334.06,464725.34,563432.55
2025,8756.1,473226.52,680029.5,20316.05,466833.94,561688.18
2026,8939.85,483977.63,690768.32,20304.34,469243.77,561688.18
2027,9098.18,492040.96,698822.45,20311.46,471051.14,561688.18
2028,9256.87,500104.29,706876.57,20318.63,472858.51,561688.18
2029,9251.63,509511.51,695191.17,20187.15,474967.12,549477.56
2030,9212.0,514887.06,685231.19,20087.6,476172.03,540755.7
2031,9315.79,525638.17,686189.9,20024.68,478581.86,535522.58
