year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,2451.11212391,1065.60881446
2018,2472.44409549,1074.88278309
2019,2480.28200455,1078.2902751
2020,2488.50481816,1081.86510245
2021,2499.68999322,1086.72780172
2022,2502.054484,1087.75575234
2023,2501.02825181,1087.30960299
2024,2493.07346781,1083.85130018
2025,2486.59406128,1081.03441039
2026,2482.37900556,1079.20193587
2027,2484.94377627,1080.31695719
2028,2487.52204293,1081.4378458
2029,2440.21063375,1060.86944579
2030,2404.39102766,1045.29705006
2031,2381.75021866,1035.45407086
