year,Base case diesel consumed,Modeled non-residential ashp
2017,18545.6590365,-21770.9910429
2018,18545.6590365,-21770.9910429
2019,18545.6590365,-21770.9910429
2020,18545.6590365,-21770.9910429
2021,18545.6590365,-21770.9910429
2022,18545.6590365,-21770.9910429
2023,18545.6590365,-21770.9910429
2024,18545.6590365,-21770.9910429
2025,18545.6590365,-21770.9910429
2026,18545.6590365,-21770.9910429
2027,18545.6590365,-21770.9910429
2028,18545.6590365,-21770.9910429
2029,18545.6590365,-21770.9910429
2030,18545.6590365,-21770.9910429
2031,18545.6590365,-21770.9910429
