year,Base case diesel consumed,Port frederick (unnamed stream) -- unnamed creek,Humpback creek (chichagof island),Steve kane creek,Shotter creek
2021,214569.607942,213965.991529,190424.951445,208533.443816,208533.443816
2022,215318.660842,214715.044429,191174.004345,209282.496716,209282.496716
2023,216135.80946,215532.193047,191991.152963,210099.645334,210099.645334
2024,216884.862359,216281.245947,192740.205863,210848.698234,210848.698234
2025,217702.010977,217098.394565,193557.354481,211665.846852,211665.846852
2026,218451.063877,217847.447465,194306.407381,212414.899752,212414.899752
2027,219336.308213,218732.691801,195191.651717,213300.144088,213300.144088
2028,220357.743986,219754.127573,196213.08749,214321.579861,214321.579861
2029,220357.743986,219754.127573,196213.08749,214321.579861,214321.579861
2030,220766.318295,220162.701882,196621.661799,214730.15417,214730.15417
2031,221651.562631,221047.946219,197506.906135,215615.398506,215615.398506
2032,223217.764149,222614.147736,199073.107653,217181.600024,217181.600024
2033,225056.348539,224452.732127,200911.692043,219020.184414,219020.184414
2034,226963.028648,226359.412236,202818.372152,220926.864523,220926.864523
2035,228869.708757,228266.092344,204725.05226,222833.544631,222833.544631
2036,230640.197429,230036.581017,206495.540933,224604.033304,224604.033304
2037,232478.78182,231875.165407,208334.125323,226442.617694,226442.617694
2038,234453.557646,233849.941234,210308.90115,228417.393521,228417.393521
2039,236700.716346,236097.099933,212556.05985,230664.55222,230664.55222
2040,239220.257918,238616.641505,215075.601422,233184.093793,233184.093793
2041,241875.990927,241272.374514,217731.33443,235839.826801,235839.826801
2042,244599.819653,243996.203241,220455.163157,238563.655528,238563.655528
2043,247391.744098,246788.127685,223247.087602,241355.579973,241355.579973
2044,250387.955697,249784.339285,226243.299201,244351.791572,244351.791572
2045,253520.358733,252916.74232,229375.702237,247484.194608,247484.194608
2046,256788.953205,256185.336792,232644.296709,250752.78908,250752.78908
2047,260261.834831,259658.218419,236117.178335,254225.670706,254225.670706
2048,263870.907894,263267.291482,239726.251398,257834.743769,257834.743769
2049,267616.172393,267012.555981,243471.515897,261580.008268,261580.008268
2050,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2051,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2052,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2053,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2054,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2055,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2056,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2057,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2058,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2059,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2060,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2061,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2062,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2063,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2064,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2065,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2066,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2067,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2068,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2069,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
2070,271429.532611,270825.916198,247284.876114,265393.368485,265393.368485
