year,Base case cost,Modeled biomass for heat (cordwood)
2017,1146712.63092,1269774.7486
2018,1287594.83614,1394667.7097
2019,1476198.81875,1562374.78288
2020,1570402.34401,1645216.15661
2021,1641544.34526,1707758.93464
2022,1691053.14919,1750527.42561
2023,1731622.93577,1785311.82149
2024,1767227.6357,1816084.82986
2025,1803589.36228,1847213.26632
2026,1849335.56622,1886872.04735
2027,1890307.22747,1922706.48478
2028,1922564.9667,1950324.71911
2029,1964451.85802,1986263.26707
2030,1992234.84666,2009947.58728
2031,2043450.01924,2055301.7883
2032,2095077.59108,2101110.54471
2033,2151878.75891,2152134.06522
2034,2214036.49071,2208102.98518
2035,2262568.21454,2252290.62912
2036,2325967.4237,2309578.62817
