year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,449458.0,399807.547317
2018,451578.0,401927.547317
2019,452638.0,402987.547317
2020,453700.0,404049.547317
2021,455817.0,406166.547317
2022,456878.0,407227.547317
2023,457941.0,408290.547317
2024,460057.0,410406.547317
2025,461120.0,411469.547317
2026,462181.0,412530.547317
2027,464298.0,414647.547317
2028,465363.0,415712.547317
2029,465364.0,415713.547317
2030,466421.0,416770.547317
2031,468539.0,418888.547317
2032,470664.0,421013.547317
2033,473844.0,424193.547317
2034,477027.0,427376.547317
2035,481262.0,431611.547317
2036,484443.0,434792.547317
