year,Base case cost,Modeled diesel efficiency
2019,600669.606116,838297.206085
2020,645326.778089,872045.40246
2021,678039.961096,895095.955952
2022,701938.834344,910290.267073
2023,721893.603595,922052.121377
2024,737408.532022,929927.260899
2025,755425.978092,940223.416674
2026,777685.787403,954518.844615
2027,796190.798815,965540.056493
2028,813120.075308,975264.755385
2029,832952.272267,987761.259226
2030,845534.99907,993797.009903
2031,868874.125514,1009737.94064
2032,895103.234237,1028429.79496
2033,922731.029012,1048513.95058
2034,953244.720322,1071339.58652
2035,974984.959304,1086304.53051
2036,1005591.26079,1109442.00576
2037,1027556.21564,1124833.54969
2038,1059730.08056,1149613.18492
