year,Base case diesel consumed,Modeled diesel efficiency
2019,213003.406424,193639.460385
2020,213684.363606,194258.512369
2021,214569.607942,195063.279947
2022,215318.660842,195744.237129
2023,216135.80946,196487.099509
2024,216884.862359,197168.05669
2025,217702.010977,197910.91907
2026,218451.063877,198591.876252
2027,219336.308213,199396.64383
2028,220357.743986,200325.221805
2029,220357.743986,200325.221805
2030,220766.318295,200696.652995
2031,221651.562631,201501.420574
2032,223217.764149,202925.240135
2033,225056.348539,204596.68049
2034,226963.028648,206330.026044
2035,228869.708757,208063.371597
2036,230640.197429,209672.906754
2037,232478.78182,211344.347109
2038,234453.557646,213139.59786
