year,Base case cost,Modeled solar power
2020,645326.778089,669194.137651
2021,678039.961096,700813.976618
2022,701938.834344,723774.515685
2023,721893.603595,742877.119621
2024,737408.532022,757624.044173
2025,755425.978092,774859.421897
2026,777685.787403,796291.642157
2027,796190.798815,814050.968203
2028,813120.075308,830283.227862
2029,832952.272267,849341.666743
2030,845534.99907,861291.51718
2031,868874.125514,883890.717979
2032,895103.234237,909396.766125
2033,922731.029012,936318.007918
2034,953244.720322,966111.45729
2035,974984.959304,987266.180179
2036,1005591.26079,1017183.5388
2037,1027556.21564,1038591.7236
2038,1059730.08056,1070106.64289
2039,1088823.29519,1098613.24631
