year,Base case diesel consumed,Modeled wind power
2019,213003.406424,154758.8003
2020,213684.363606,155439.757482
2021,214569.607942,156325.001818
2022,215318.660842,157074.054718
2023,216135.80946,157891.203336
2024,216884.862359,158640.256235
2025,217702.010977,159457.404853
2026,218451.063877,160206.457753
2027,219336.308213,161091.702089
2028,220357.743986,162113.137862
2029,220357.743986,162113.137862
2030,220766.318295,162521.712171
2031,221651.562631,163406.956507
2032,223217.764149,164973.158025
2033,225056.348539,166811.742415
2034,226963.028648,168718.422524
2035,228869.708757,170625.102633
2036,230640.197429,172395.591305
2037,232478.78182,174234.175696
2038,234453.557646,176208.951522
