year,Base case diesel consumed,Modeled transmission and interties
2021,214569.607942,-123253.249881
2022,215318.660842,-123253.249881
2023,216135.80946,-123253.249881
2024,216884.862359,-123253.249881
2025,217702.010977,-123253.249881
2026,218451.063877,-123253.249881
2027,219336.308213,-123253.249881
2028,220357.743986,-123253.249881
2029,220357.743986,-123253.249881
2030,220766.318295,-123253.249881
2031,221651.562631,-123253.249881
2032,223217.764149,-123253.249881
2033,225056.348539,-123253.249881
2034,226963.028648,-123253.249881
2035,228869.708757,-123253.249881
2036,230640.197429,-123253.249881
2037,232478.78182,-123253.249881
2038,234453.557646,-123253.249881
2039,236700.716346,-123253.249881
2040,239220.257918,-123253.249881
