year,Base case diesel consumed,Modeled solar power
2020,213684.363606,210344.447731
2021,214569.607942,211256.411394
2022,215318.660842,212031.969866
2023,216135.80946,212875.412012
2024,216884.862359,213650.548091
2025,217702.010977,214493.571223
2026,218451.063877,215268.291641
2027,219336.308213,216178.998155
2028,220357.743986,217225.692408
2029,220357.743986,217250.748821
2030,220766.318295,217684.179091
2031,221651.562631,218594.080541
2032,223217.764149,220184.741916
2033,225056.348539,222047.590484
2034,226963.028648,223978.340657
2035,228869.708757,225908.89827
2036,230640.197429,227703.073426
2037,232478.78182,229565.154808
2038,234453.557646,231563.239651
2039,236700.716346,233833.520895
